"Asset No","SAP Ref. No","Invoice No","Asset Name",Category,Type,Status,"Serial No",Make,Model,"Pur Value","Pur Date","Pur From","PO No","User Full Name",Department,Division,Factory,Site,N.Username,"Part Name","Mother Board",Processor,Speed,SSD,HDD,RAM,Network,"Mac Address","Total Cost",OS,"Last Rebuild",Bag,OEM,"OEM Serial",Remark
BD-02889,21004000258,B-999700,SDLL411,Computer,Laptop,Assigned,25CG8327ZFH,HP,"Elitebook 840 G5","84,000",2019-05-29,"Ryans Computers",,"Duminda Wijewardhana",Maintenance,LWR,SIL,"Shanta Denim Limited",dwijewardhana,,,"Core i5 8250U",1.80,250,,"8196 ",,,,"WIN 11 Pro",2025-06-21,,"WIN 10 PRO",8G9GB-N3JJX-MHDJG-VVH3G-8TYP2,
BD-02890,,,,"Computer Accessories",Headset,Assigned,1713ALA20938,Logitech,H150,,,,1221,"Robin Hossain","CAD ",LWR,SDL,SDL,rhossain,,,,,,,,,,,,,,,,
BD-02891,,n/a,,Display,Monitor,Assigned,903NTCZ0F867,LG,22MK430H,"9,000",2019-06-19,"Global Brand/INV-GBPGL-2019-003672/ 3yr wrnty",SIL0000088,"Ripon Ali",Operations,LWR,SIL,SDL,,,,,,,,,,,,,,,,,
BD-02892,,N/A,,Display,Monitor,Assigned,903NTZN0F893,LG,22MK430H,"9,000",2019-06-19,"Global Brand/INV-GBPGL-2019-003672/ 3yr wrnty",SIL0000088,"Shohag Hasan","Marketing & Merchandising",LWR,SIL,SDL,shhasan,,,,,,,,,,,,,,,,
BD-02893,21004000250,SML/MC/282/19-20,SDLL264,Computer,Laptop,Assigned,5CD9129CG8,HP,"Probook 440 G6","58,000",2019-07-10,"Flora Limited, SML/MC/-282/19-20",SDL2000123,"Shajahan Sarker",HRM,LWR,SDL,SDL,ssarker,,,"Core i5 8256U",1.80,250,,"8196 ",,,,"WIN 10",,,"WIN10 Pro",CNGRJ-4B66D-JVT7R-2XKVY-43KTT,
BD-02894,21004000251,SML/MC/282/19-20,DBOL215,Computer,Laptop,Assigned,5CD9129CGN,HP,"Probook 440 G6","58,000",2019-07-10,"Flora Limited, SML/MC/-282/19-20",SDL2000123,"Khirun nahar",Compliance,LWR,DBO,"Dhaka Buying Office",knahar,1,,"Intel Core i5 8256U",1.80,250,,"8196 ",,,,"WIN 10",,Yes,"Win 10 Pro",X9BFN-KRJ68-KVHJR-PYCMJ-9TPKG,
BD-02895,21004000252,SML/MC/282/19-20,SDLL266B,Computer,Laptop,Assigned,5CD9129CGQ,HP,"Probook 440 G6","58,000",2019-07-10,"Flora Limited, SML/MC/-282/19-20",SDL2000123,"Nasir Ahmed","Human Resource",LWR,SIL,SDL,nahmed,,,"Core i5 8256U",1.80,250,,"8196 ",,,,"WIN 10",,B-057,"Win 10 Pro",262VC-R3N7C-X6V6C-HWC9J-W44C6,
BD-02896,,,,"Computer Accessories",Webcam,Stock,185LZ040UU9,Logitech,C270,"1,800",2019-07-11,"Khanbrother's/ 0415/2019/ 1yr wrenty",,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-02897,,,SDLP058,Printer,Printer,Stock,E77011L8F136573,Brother,MFC-J2330DW,"21,650",2019-07-09,"Global Brand/ INV-GBPGL-2019-004186/ 1 yr wrnty",SIL0000087,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-02898,,n/a,,UPS,UPS,Assigned,AT1200190330ST0130,NPS,M-1200VA,"4,900",2019-07-09,"Numeric Technology/inv-201906191/1yr wrnty",SDL2000131,"Rokib Hossan",IE,LWR,SDL,SDL,rhossan,,,,,,,,,,,,,,,,
BD-02899,,,,UPS,UPS,Assigned,AT1200190330ST0129,NPS,M-1200VA,"4,900",2019-07-09,"Numeric Technology/inv-201906191/1yr wrnty",SDL2000131,"Shariful  Islam",Store,LWR,SDL,SDL,,,,,,,,,,,,,,,,,
BD-02900,,,,UPS,UPS,Stock,AT1200190330ST0099,NPS,M-1200VA,"4,900",2019-07-09,"Numeric Technology/inv-201906191/1yr wrnty",SDL2000131,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-02901,,,,Display,Monitor,Assigned,ZZPNH4ZM100003,Samsung,S27F350,"25,500",2019-07-23,"Ryans Computer/ B-1031724/ 3 yr wrnty",SIL0000098,"Paul Warren",Finance,LWR,,SDL,pwarren,,,,,,,,,,,,,,,,
BD-02902,,,,UPS,UPS,Assigned,AT1200190330ST0240,NPS,M-1200VA,"4,900",2019-07-24,"Numeric Technology/inv-201907243/1yr wrnty",SDL2000140,"Temp assign to Helal Udden",MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-02903,,,,UPS,UPS,Assigned,AT1200190330ST0399,NPS,M-1200VA,"4,900",2019-07-24,"Numeric Technology/inv-201907243/1yr wrnty",SDL2000140,"Naznin Akhi",IE,LWR,SDL,SDL,,,,,,,,,,,,,,,,,
BD-02904,,n/a,,UPS,UPS,"Need to Dispose",AT1200190330ST0390,NPS,M-1200VA,"4,900",2019-07-24,"Numeric Technology/inv-201907243/1yr wrnty",SDL2000140,"Raju Mia",HRM,LWR,SDL,SDL,ramia,,,,,,,,,,,,,,,,
BD-02905,,,,CCTV,NVR,Assigned,5A02F1CPAZBAD29,Dahua,NVR5832-4KS2,"47,000",2019-07-21,"B3 Group/ 00555102/ 1 yr warnty",SWWL6000042,,MIS,LWR,SWL,SDL,,,,,,,,,,,,,,,,,
BD-02906,,,,Display,Monitor,Stock,TX5185260475,ViewSonic,TD2220,"22,000",2019-07-24,"Ryans Computer/ B-1032420/ 3 yr wrnty",SDL2000100,,MIS,LWR,,SDL,,,,,,,,,,,,,,,,,
BD-02907,,,,"Computer Accessories",Headset,Assigned,1703ALAC3179,Logitech,"H150 AU","1,500",2019-10-30,"StarTech/ INV-STETB-2017-069870",1209,"Delowar Hossain","Marketing & Merchandising",LWR,,DBO,dehossain,,,,,,,,,,,,,,,,
BD-02908,,,,UPS,UPS,Assigned,AT1200190330ST0236,NPS,1200VA,"4,900",2019-07-14,"Numeric Technology/inv-201907143/1yr wrnty",HO3000027,"Kazi Marufa",HR,LWR,SHO,DBO,kmarufa,,,,,,,,,,,,,,,,
BD-02909,,,,UPS,UPS,Assigned,AT1200181030ST0144,NPS,NP2120,"4,900",2019-08-01,"NPS/ 201908013/ 1 yr wrnty",,"Didarul Islam",Store,LWR,,SDL,dislam,,,,,,,,,,,,,,,,
BD-02910,,,,Display,Monitor,Assigned,"                                                  ",LG,22MK430H,"9,000",2019-07-27,"Global Brand/INV-GBPGL-2019-004672/ 3yr wrnty",SDL2000140,"Abu Jasim",Finishing,LWR,SDL,SDL,ajasim,,,,,,,,,,,,,,,,
BD-02911,,1,,Display,Monitor,Disposed,903NTDV0F322,LG,22MK430H,"9,000",2019-07-27,"Global Brand/INV-GBPGL-2019-004672/ 3yr wrnty",SDL2000140,"Alamgir Hossen",Cutting,LWR,SWL,SDL,,,,,,,,,,,,,,,,,
BD-02912,,n/a,,Display,Monitor,Assigned,CN-ODFDMY-72872-62K-DKGU-A00,Dell,E1916HF,"6,200",2016-10-04,,,"Saddam Swatch cut",Operation,LWR,SIL,SDL,swatchcut,,,,,,,,,,,,,,,,
BD-02913,,n/a,SDLD486A,Computer,Desktop,Assigned,J6M0CS037713,Clone,"Asus H310M-K",,1900-01-01,,,"Alomgir Hossain",Cutting,LWR,SDL,SDL,alohossain,,,"Core i3 8th gen",,,1024,"8196 ",,,,"WIN 10",2021-09-29,,"WIN10 Pro",BCNMH-D6PGD-WVD4Y-6M6W3-H22KG,
BD-02918,,,,T&A,"Attendance Device",Stock,7319407,FingerTech,"Timeline 100","24,000",2019-08-06,"General Automation/ GA/19/1172/ 1yr wrnty",HO3000020,,MIS,LWR,SIL,SDL,,,,,,,,,,,,,,,,,
BD-02919,11004000255," INV-EITHO-2019-001634",,Printer,"Barcode Printer",Assigned,M2418080116,TSC,ME240,"60,000",2019-08-06,"EasternIT, INV-EITHO-2019-001634",SIL0000089,"SIL Location 30",Cutting,LWR,SIL,SDL,,99-042A001-42LF,,,,,,,,,,,,,,,
BD-02920,,,,Photocopier,Photocopier,Stock,33033354,Sharp,AR-5623,"90,000",2014-09-02,,,,MIS,LWR,SIL,SDL,,,,,,,,,,,,,,,,,
BD-02921,,,,Printer,"Label Printer",Assigned,,Brother,E100,,,,,MIS,MIS,LWR,SDL,SDL,,,,,,,,,,,,,,,,,
BD-02922,,n/a,,Display,Monitor,Assigned,903NTLE0F608,LG,22MK430H,"9,000",2019-08-29,"Global Brand/  INV-GBPGL-2019-005311/ 3 yr wrnty",SIL0000099,"Ziaul Alam","Human Resource",LWR,SIL,SDL,zalam,,,,,,,,,,,,,,,,
BD-02923,,,,"Computer Accessories",Headset,Assigned,1723ALA54859,Logitech,H151,,,,,"Merajul Islam","Marketing & Merchandising",LWR,AKH,DBO,meislam,,,,,,,,,,,,,,,,
BD-02924,21004000262,,,Printer,"Printer ",Assigned,R9DY345189,EPSON,LQ-310,16830,2019-09-02,"Flora LimitedFlora Limited/ SML/MC/74/19-20/ 1yr wrnty",SDL2000144,"Faisal Ahmed",Store,LWR,SDL,SDL,faahmed,OKI-20276,,,,,,,,,16830,,,,,,
BD-02925,21004000262,n/a,,Printer,"Printer ",Assigned,R9DY350703,EPSON,LQ-310,16830,2019-09-02,"Flora LimitedFlora Limited/ SML/MC/74/19-20/ 1yr wrnty",SDL2000144,"Nissan Ali",Operation,LWR,SDL,SDL,nali,OKI-20276,,,,,,,,,16830,,,,,,
BD-02926,,n/a,,"Computer Accessories",Headset,Assigned,SN935000880930,Edifier,K550,0,2019-08-30,"Khan Brothers",SDL2000154,"Mamunur Rashid","Marketing & Merchandising",LWR,DBO,AKH,mrashid,,,,,,,,,,900,,,,,,
BD-02927,,n/a,,Computer,Tablet,Service,HEKNU19124111926,Huawei,"MediaPad T3 10",20600,2019-09-14,"Ryans Computer/ B-1063093/ 1yr wrnty",SIL0000101,,Cutting,LWR,SDL,SDL,,,,"Quad Core A53 1.4 GHz",,,16GB,2048,,,20600,,,,,,
BD-02928,,n/a,,Computer,Tablet,Assigned,HEKNU19124112365,Huawei,"MediaPad T3 10",20600,2019-09-14,"Ryans Computer/ B-1063103/ 1yr wrnty",SDL2000159,,Cutting,LWR,SDL,SDL,,,,"Quad Core A53 1.4 GHz",,,16GB,2048,,,20600,,,,,,
BD-02929,,n/a,,Computer,Tablet,Assigned,HEKNU19124112084,Huawei,"MediaPad T3 10",20600,2019-09-14,"Ryans Computer/ B-1063103/ 1yr wrnty",SDL2000159,"Table 3",Cutting,LWR,SIL,SDL,"Table 3",,,"Quad Core A53 1.4 GHz",,,16GB,2048,,,0,,,,,,
BD-02930,,INV-GBPGL-2019-006324,DBOD044,Computer,Desktop,Assigned,,HP,"Prime H310M-F R2.0",38000,2019-10-09,"Global Brands Pvt Ltd",HO3000031,"Sanaulla Bhuiyan",Finance,LWR,DBO,DBO,sbhuiyan,,"Asus Prime H310M-F R2.0","Intel Core i3 9100",3.6,,250,8196,,,0,,,,,,
BD-02931,11004000054,N/A,DBOL149A,Computer,Laptop,Assigned,XG043808H,Toshiba,"Portage Z30-C",80000,2017-01-01,,NA,Shawkat.Ali,Quality,LWR,DBO,"Dhaka Buying Office",shaali,,,"Intel Core i5",,500,,,,,0,"WIN10 Pro",2018-07-30,,,,"Brought from UK"
BD-02932,,1,DBOD040,Computer,Desktop,Assigned,180731557212239,Clone,"PRIME H310M-E R2.0",27910,2019-04-09,"Global Brands Pvt Ltd.",HO3000021,"Reazul Karim",Commercial,LWR,DBO,SHO,rkarim,,Asus,"Intel Core i3",3.6,,1000,8912,,,0,"WIN11 Pro",2025-07-27,,,,
BD-02933,,1,DBOD041,Computer,Desktop,Assigned,180731557212056,Clone,"PRIME H310M-E R2.0",29805,2019-04-01,"Global Brands Pvt Ltd.",HO3000020,"Anwarul Islam",Commercial,LWR,DBO,SHO,anislam,,Asus,"Intel Core i3",3.6,256,,8912,,,0,"WIN11 Pro",2025-07-27,,,,
BD-02934,11004000256,INV-UBSHO-2019-000071,,Projector,Projector,Assigned,F81P08484,Hitachi,CP-X4042WN,59000,2019-09-11,"Unique Business System Limited",SDL2000152,"SIL VC Room",MIS,LWR,SIL,SDL,,,,,,,,,,,0,,,,,,"Invoice no- INV-UBSHO-2019-000071"
BD-02935,,n/a,SDLD487B,Computer,Desktop,Assigned,K4M0KC410747J6P,Clone,"Asus H310M-E R2.0",38000,2019-08-26,"Global Brands Pvt Ltd.",SDL2000145,"Tamzid Hossain",Finishing,LWR,SDL,SDL,tahossain,90MB0Z20-M0UAY0,"Asus  Prime H310-ER2.0","Intel Core i3 8th Gen",3.6,256,,"8192 ",,,38000,"WIN10 Pro",2024-09-03,,"WIN10 Pro",HW7WT-N2J46-XT48P-WG8G9-V22KG,
BD-02936,,n/a,,UPS,UPS,Assigned,20190914AST0071,NPS,NP2120,4900,2019-09-22,"Numeric Technology",SDL2000162,"Mizanur Rahman",Production,LWR,SDL,SDL,mizarahman,,,,,,,,,,0,,,,,,
BD-02937,,n/a,,UPS,UPS,Assigned,20190914AST0069,NPS,NP2120,4900,2019-09-22,"Numeric Technology",SDL2000162,"Abubakkar Siddik",Design,SWR,SDL,SDL,absiddik,,,,,,,,,,0,,,,,,
BD-02938,,n/a,,UPS,UPS,Assigned,E1812042577,NPS,NP2120,4900,2019-09-22,"Numeric Technology",SDL2000145,"Ikram Hossain",Finishing,SWR,SIL,SDL,ihosen,,,,,,,,,,0,,,,,,
BD-02939,,n/a,,Display,Monitor,Assigned,903NTGY0F415,LG,22MK430H,9000,2019-08-26,"Global Brands Pvt Ltd.",SDL2000145,"Abdul Alim",Production,LWR,SDL,SDL,aabdul,,,,,,,,,,0,,,,,,
BD-02940,,,,UPS,UPS,Assigned,AT200181030ST0146,NPS,NP2120,4900,2019-08-29,"Numeric Technology",SIL0000105,"Mohhamad Alamgir",Sample,LWR,SDL,SDL,malamgir,,malamgir,,,,,,,,4900,,,,,,
BD-02941,,1,,UPS,UPS,Assigned,AT200181030ST0145,NPS,NP2120,4900,2019-08-29,"Numeric Technology",SIL0000107,"Faisal Ahmed",Costing,LWR,SIL,SDL,fahemed,,,,,,,,,,4900,,,,,,
BD-02942,,A001INV19001196,,Printer,"Barcode Printer",Assigned,MH219080188,TSC,MH240T,70000,2019-09-24,"DIGI Solution",SDL2000144,"SDL Swatch Cut Area",Store,LWR,SDL,"Shanta Denim Limited",,99-060A002-000K,,,,,,,,,70000,,,,,,
BD-02943,,A001INV19001196,,Printer,"Barcode Printer",Stock,MH219120058,TSC,MH240T,70000,2019-09-24,"DIGI Solution",SDL2000144,,MIS,LWR,SIL,SDL,,99-060A002-000K,,,,,,,,,70000,,,,,,"Last serviced by DIGI on 02/02/2022 Printer Head Replaced"
BD-02944,,DGT-2019-2018,,Display,TV,Assigned,05ZR389M400206,Samsung,UA65NU7100R,166250,2019-09-26,"Transcom Electronics",SIL0000104,"SIL Board Room",MIS,LWR,SIL,SDL,"SIL Board Room",,,,,,,,,,166250,,,,,,
BD-02945,,201910152,,UPS,UPS,Assigned,31002292898322640017,NPS,KST1200,4900,2019-10-15,"Numeric Technology",SIL0000108,Ruhul,Operations,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02946,,201910152,,UPS,UPS,Assigned,310022928983226400171,NPS,KST1200,4900,2019-10-15,"Numeric Technology",SIL0000108,"Rahana Sultana","Human Resource",LWR,SIL,"Shanta Denim Limited",rsultana,,,,,,,,,,0,,,,,,
BD-02947,,201910152,,UPS,UPS,Stock,310022928983226400172,NPS,KST1200,4900,2019-10-15,"Numeric Technology",SIL0000108,"SWL Gate","Human Resource",LWR,SWL,"Shanta Denim Limited",swlgate,,,,,,,,,,0,,,,,,
BD-02948,,n/a,,UPS,UPS,Disposed,0136-1604140061,Digilog,1200VA,5100,2015-01-01,"Numeric Technology",n/a,"Fazlur Rahman","Quality Assurance",LWR,SWL,"Shanta Denim Limited",frahman,,,,,,,,,,0,,,,,,
BD-02949,,CVS/15/16974,,"Computer Accessories",Speaker,Assigned,1934GX081348,Logitech,Z120,950,2019-10-24,"Crystal Vision Solutions",SDL2000165,"Rifat Bin Sadek","Human Resource",LWR,SIL,"Shanta Denim Limited",rbinsadek,,,,,,,,,,0,,,,,,
BD-02950,,CVS/15/16974,,"Computer Accessories",Speaker,Assigned,1934GX081358,Logitech,Z120,950,2019-10-24,"Crystal Vision Solutions",SDL2000165,"SIL Gate 1","Human Resource",LWR,SIL,"Shanta Denim Limited",sgate1,,,,,,,,,,0,,,,,,
BD-02951,,CVS/15/16974,,"Computer Accessories",Speaker,Assigned,1934GX081319,Logitech,Z120,950,2019-10-24,"Crystal Vision Solutions",SDL2000165,"SDL Security Gate","Human Resource",LWR,SDL,"Shanta Denim Limited",sdgate1,,,,,,,,,,0,,,,,,
BD-02952,,n/a,,Display,Monitor,Assigned,ZZNHH4TH903586B,Samsung,S19F,7000,2017-10-10,"Global Brands Pvt Ltd.","Not Found","Abubakkar Siddik",Design,SWR,SDL,"Shanta Denim Limited",absiddik,,,,,,,,,,0,,,,,,
BD-02953,,201911065,,UPS,UPS,Stock,310022928983226400154,NPS,KST1200,4900,2019-11-06,"Numeric Technology",SIL0000110,"Zahidul Islam",Operations,LWR,SIL,"Shanta Denim Limited",zahislam,,,,,,,,,,0,,,,,,
BD-02954,,201911065,,UPS,UPS,Assigned,310022928983226400153,HP,KST1200,4900,2019-11-06,"Numeric Technology",SIL0000110,"Sabrina Alam","Marketing & Merchandising",LWR,SIL,"Shanta Denim Limited",saalam,,,,,,,,,,0,,,,,,
BD-02955,,201911065,,UPS,UPS,Assigned,310022928983226400155,HP,KST1200,4900,2019-11-06,"Numeric Technology",SIL0000110,"Shoriful Islam",Design,LWR,SWL,"Shanta Denim Limited",shorislam,,,,,,,,,,0,,,,,,
BD-02956,,INV-GBPGL-2019-006953,,Display,Monitor,Assigned,904NTAB77248,LG,22MK430H,9000,2019-11-05,"Global Brands Pvt Ltd.",SIL0000110,"Shoriful Islam",Design,LWR,SWL,"Shanta Denim Limited",shorislam,,,,,,,,,,0,,,,,,
BD-02957,,INV-GBPGL-2019-006953,,Display,Monitor,Assigned,905NTGY4Y983,LG,22MK430H,9000,2019-11-05,"Global Brands Pvt Ltd.",SIL0000110,,MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02958,,INV-GBPGL-2019-006953,,Display,Monitor,Service,904NTDV77002,LG,22MK430H,9000,2019-11-05,"Global Brands Pvt Ltd.",SIL0000110,"Al Mamun","Industrial Engineering",LWR,SDL,"Shanta Denim Limited",almamun,,,,,,,,,,0,,,,,,
BD-02959,,INV-GBPGL-2019-006953,,Display,Monitor,Assigned,904NTRL76870,LG,22MK430H,9000,2019-11-05,"Global Brands Pvt Ltd.",SIL0000110,"Mahfuzur Rahman","Marketing & Merchandising",LWR,SIL,"Shanta Denim Limited",mahfrahman,,,,,,,,,,0,,,,,,
BD-02960,,EFER,,"Computer Accessories",Headset,Assigned,18B030H120001420,Rapoo,H120,4,2019-11-12,"Global Brands Pvt Ltd.",DF,"Abdur Razzak",Operations,LWR,SDL,"Shanta Denim Limited",arazzak,,,,,,,,,,0,,,,,,
BD-02961,,INV-GBPGL-2019-006473,,Display,Monitor,Stock,904NTNH76935,LG,22MK430H,9000,2019-10-30,"Global Brands Pvt Ltd.",SIL0000108,,MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02962,,INV-GBPGL-2019-006954,,Display,Monitor,Assigned,904NTKF76621,LG,22MK430H,9000,2019-11-05,"Global Brands Pvt Ltd.",SDL2000166,"Farhad Miah",Design,LWR,SIL,"Shanta Denim Limited",fmiah,,,,,,,,,,0,,,,,,
BD-02963,21004000253,n/a,DBOL232A,Computer,Laptop,Assigned,5CD9129CH5,HP,"Probook 440 G6",57000,2019-08-04,"Flora Limited",SDL2000152,"Gazi Razzak",Planning,LWR,SIL,"Shanta Denim Limited",rgazi,,,"Intel Core i5 8265U",,256,,8192,,,0,"WIN10 Pro",2021-01-05,,"Win 10 Pro",87YKN-WY36K-JKT66-XJ4TH-PWF9G,"It has two SSD"
BD-02964,,A001INV19013824,,Display,Monitor,Assigned,VKC192340218,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000172,"Nabil Mansur","Accounts & Finance",LWR,SIL,"Shanta Denim Limited",nmansur,,,,,,,,,,0,,,,,,
BD-02965,,A001INV19013824,,Display,Monitor,Assigned,VKC192340224,Viewsonic,VS17294,9200,2019-11-18,"UCC Headquarters",SDL2000172,,MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02966,,A001INV19013824,,Display,Monitor,Assigned,VKC192340401,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000172,"Raju Mia","Human Resource",LWR,SDL,"Shanta Denim Limited",rmia,,,,,,,,,,0,,,,,,
BD-02967,,A001INV19013825,,Display,Monitor,Assigned,VKC192340223,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000171,"Syed Imran","Marketing & Merchandising",LWR,SIL,"Shanta Denim Limited",simran,,,,,,,,,,0,,,,,,
BD-02968,,A001INV19013825,,Display,Monitor,Stock,VKC192340225,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000171,,MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02969,,A001INV19013825,,Display,Monitor,Assigned,VKC192340262,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000171,"Sazzadur Rahman2",Costing,LWR,SIL,"Shanta Denim Limited",sazrahman,,,,,,,,,,0,,,,,,
BD-02970,,A001INV19013825,,Display,Monitor,Assigned,VKC192340275,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000171,"Faisal Ahmed",Costing,LWR,SIL,"Shanta Denim Limited",fahemed,,,,,,,,,,0,,,,,,
BD-02971,,A001INV19013825,,Display,Monitor,Assigned,VKC192340485,Viewsonic,VA2256-H,9200,2019-11-18,"UCC Headquarters",SDL2000171,"Mamunur Rahman",MIS,LWR,SIL,"Shanta Denim Limited",mamrahman,,,,,,,,,,0,,,,,,
BD-02972,,A001INV19013741,,"Computer Accessories",Headset,Stock,RYTTG1004777,Rapoo,H120,910,2019-11-16,"UCC Headquarters",SIL000110,,MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02973,,A001INV19013741,,"Computer Accessories",Headset,Stock,RYTTG1004778,Rapoo,H120,910,2019-11-16,"UCC Headquarters",SIL0000110,,MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02974,,A001INV19000949,,CCTV,"CCTV Camera",Assigned,5E00E91PAGCF165,Dahua,IPC-HFW-1230SP,5610,2019-11-14,"Richman Informatics",SIL0000110,"SIL Ramp & Fabric area","Human Resource",LWR,SIL,"Shanta Denim Limited",system,,,,,,,,,,0,,,,,,
BD-02975,,A001INV19000948,,CCTV,"CCTV Camera",Assigned,5E00E91PAG8C133,Dahua,IPC-HFW-1230SP,5610,2019-11-14,"Richman Informatics",SWWL6000051,,"Human Resource",LWR,SWL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02976,21004000264,CVS/19/18168,,Printer,"Barcode Printer",Assigned,SW19IST005306,Sewoo,LK-B24,19200,2019-12-02,"Crystal Vision Solutions",SDL2000144,"SIL MIS Room",MIS,LWR,SIL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02977,,A001INV19014319,,Display,Monitor,Assigned,VKC192340119,Viewsonic,VS17294,9200,2019-12-03,"UCC Headquarters",SDL2000173,"Rana Sarker","Human Resource",LWR,SDL,"Shanta Denim Limited",rsarker,,,,,,,,,,0,,,,,,
BD-02978,,A001INV19014319,,Display,Monitor,Assigned,VKC192340149,Viewsonic,VS17294,9200,2019-12-03,"UCC Headquarters",SDL2000174,"Murad Hossain","Marketing & Merchandising",LWR,SDL,"Shanta Denim Limited",hmurad,,,,,,,,,,0,,,,,,
BD-02979,,A001INV19014319,,Display,Monitor,Assigned,VKC192340161,Viewsonic,VS17294,9200,2019-12-03,"UCC Headquarters",SDL2000174,"Mehedi Hasan5","Marketing & Merchandising",LWR,SDL,"Shanta Denim Limited",mehedihasan,,,,,,,,,,0,,,,,,
BD-02980,21004000263,SML/MC/195/19-20,SDLD492B,Computer,Desktop,Assigned,4CE90928M9,HP,"Prodesk 400 G5",62000,2019-11-24,"Flora Limited",SDL2000167,"Titan 5 Imran Hossain",Lab,LWR,SDL,"Shanta Denim Limited",imhossain,4FZ42AV,,"Intel Core i5-8500",,500,,8192,,,62000,"WIN10 Pro",2019-12-19,,"Win 10 Pro",D3TNR-P38TH-P862W-W4K6C-GQ726,
BD-02981,,SML/MC/195/19-20,,Display,Monitor,Assigned,1CR8361CCR,HP,N223v,1,2019-11-24,"Flora Limited",SDL2000167,"Alam, Monsur",Store,LWR,SDL,"Shanta Denim Limited",moalam,4AM19AA-V,,,,,,,,,0,,,,,,
BD-02982,,2019231108,,UPS,UPS,Assigned,31002292898322640014,NPS,KST1200,4900,2019-11-23,"Numeric Technology",SDL2000173,"Rahad Hossain",Sample,LWR,SIL,"Shanta Denim Limited",rahossain,,,,,,,,,,0,,,,,,
BD-02983,,A001INV20000349,n/a,Storage,"Pen Drive",Assigned,F429421460,Transcend,JF790_64GB,975,2020-01-12,"UCC Headquarters",n/a,"Mohammad Hamidul","Accounts & Finance",LWR,SIL,"Shanta Denim Limited",mhamidul,,,,,,,,,,0,,,,,,
BD-02984,,A001INV20000349,n/a,Storage,"Pen Drive",Assigned,F429421496,Transcend,JF790_64GB,975,2020-01-12,"UCC Headquarters",n/a,"TR Talent","Human Resource",LWR,SIL,"Shanta Denim Limited",ttalent,,,,,,,,,,0,,,,,,
BD-02985,,A001INV20000349,n/a,Storage,"External HDD",Assigned,F531680533,Transcend,TS1TSJ25M3G,5050,2020-01-12,"UCC Headquarters",n/a,"Mohammad Shahinuzzaman","Industrial Engineering",LWR,SIL,"Shanta Denim Limited",mshahinuzzaman,,,,,,,,,,0,,,,,,
BD-02986,,A001INV20000349,n/a,Storage,"External HDD",Assigned,F531680549,Transcend,TS1TSJ25M3G,5050,2020-01-12,"UCC Headquarters",n/a,"Mohammad Shahinuzzaman","Industrial Engineering",LWR,SIL,"Shanta Denim Limited",mshahinuzzaman,,,,,,,,,,0,,,,,,
BD-02987,,2019231108,,UPS,UPS,Assigned,310022928983226400141,NPS,KST-1200,4900,2019-11-23,"Numeric Technology",sdl2000174,"Rozina Akter",Production,LWR,SDL,"Shanta Denim Limited",roakter,,,,,,,,,,0,,,,,,
BD-02988,,2019231108,,UPS,UPS,Stock,310022928983226400156,NPS,KST-1200,4900,2019-11-23,"Numeric Technology",SDL2000174,,MIS,LWR,SDL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02989,,A001INV20000105,,Display,Monitor,Stock,VKC192340527,Viewsonic,VA2256-H,9200,2020-01-06,"UCC Headquarters",SDL2000178,,MIS,LWR,SDL,"Shanta Denim Limited",,,,,,,,,,,0,,,,,,
BD-02990,,n/a,SDLD493,Computer,Desktop,Assigned,K6M0KC255537226,Clone,"Prime H310M-E R2.0",35000,2019-12-24,"Global Brands Pvt Ltd.",n/a,"Selim Reza","Industrial Engineering",LWR,SDL,"Shanta Denim Limited",selreza,,,,,256,,"8092 ",,,0,"WIN11 Pro",2025-07-21,,,,
